timestamp,open,low,high,close,volume
2001-04-16,524.0,524.0,547.0,547.0,342131.0
2001-04-17,547.0,524.0,571.0,524.0,345804.0
2001-04-18,547.0,524.0,547.0,524.0,230361.0
2001-04-19,524.0,500.0,524.0,500.0,457574.0
2001-04-20,476.0,452.0,476.0,452.0,228262.0
2001-04-23,452.0,452.0,452.0,452.0,11544.0
2001-04-24,476.0,471.0,476.0,471.0,3148.0
2001-04-25,476.0,471.0,485.0,471.0,345804.0
2001-04-26,476.0,471.0,485.0,471.0,345804.0
2001-04-27,462.0,457.0,466.0,462.0,372566.0
2001-04-30,466.0,462.0,466.0,466.0,205173.0
2001-05-01,471.0,471.0,500.0,476.0,1476096.0
2001-05-02,500.0,452.0,500.0,452.0,249776.0
2001-05-03,476.0,466.0,481.0,466.0,1837642.0
2001-05-04,466.0,466.0,495.0,490.0,1116124.0
2001-05-07,490.0,490.0,490.0,490.0,0.0
2001-05-08,500.0,476.0,500.0,476.0,189956.0
2001-05-09,476.0,476.0,476.0,476.0,227212.0
2001-05-10,476.0,476.0,476.0,476.0,102849.0
2001-05-11,500.0,500.0,500.0,500.0,709449.0
2001-05-14,500.0,500.0,500.0,500.0,155848.0
2001-05-15,500.0,500.0,547.0,547.0,1011700.0
2001-05-16,690.0,547.0,690.0,571.0,4605651.0
2001-05-17,595.0,571.0,595.0,571.0,905702.0
2001-05-18,547.0,547.0,571.0,571.0,162144.0
2001-05-21,547.0,524.0,547.0,547.0,408248.0
2001-05-22,571.0,571.0,595.0,571.0,511622.0
2001-05-23,571.0,547.0,571.0,547.0,723617.0
2001-05-24,547.0,547.0,547.0,547.0,0.0
2001-05-25,571.0,571.0,595.0,595.0,268142.0
2001-05-28,595.0,571.0,595.0,571.0,228262.0
2001-05-29,571.0,571.0,643.0,619.0,2869808.0
2001-05-30,643.0,619.0,690.0,666.0,1623023.0
2001-05-31,666.0,571.0,666.0,595.0,3309016.0
2001-06-01,595.0,547.0,595.0,547.0,1355406.0
2001-06-04,547.0,547.0,547.0,547.0,0.0
2001-06-05,547.0,547.0,547.0,547.0,1059976.0
2001-06-06,547.0,547.0,571.0,547.0,1719051.0
2001-06-07,571.0,571.0,571.0,571.0,2149863.0
2001-06-08,571.0,571.0,595.0,595.0,476464.0
2001-06-11,595.0,595.0,619.0,619.0,343705.0
2001-06-12,619.0,619.0,619.0,619.0,1348584.0
2001-06-13,619.0,619.0,643.0,643.0,940860.0
2001-06-14,619.0,619.0,690.0,643.0,3864717.0
2001-06-15,643.0,643.0,643.0,643.0,197827.0
